date,price
2018-05-01,1215.219
2018-06-01,1166.677
2018-07-01,1163.512
2018-08-01,1132.993
2018-09-01,1131.635
2018-10-01,1094.161
2018-11-01,1081.398
2018-12-01,1130.593
2019-01-01,1135.523
2019-02-01,1119.805
2019-03-01,1098.414
2019-04-01,1090.551
2019-05-01,1086.384
2019-06-01,1087.493
2019-07-01,1075.038
2019-08-01,1063.322
2019-09-01,1046.125
2019-10-01,1008.157
2019-11-01,982.063
2019-12-01,958.47
2020-01-01,950.024
2020-02-01,1014.718
2020-03-01,1083.197
2020-04-01,1129.851
2020-05-01,1073.926
2020-06-01,1019.925
2020-07-01,976.321
2020-08-01,1005.344
2020-09-01,1045.405
2020-10-01,1022.29
2020-11-01,1018.767
2020-12-01,1095.043
2021-01-01,1172.729
2021-02-01,1303.319
2021-03-01,1330.538
2021-04-01,1464.921
2021-05-01,1613.12
2021-06-01,1731.067
2021-07-01,1709.171
2021-08-01,1790.491
2021-09-01,1820.496
2021-10-01,2033.574
2021-11-01,2026.245
2021-12-01,1810.525
2022-01-01,1764.343
2022-02-01,1714.548
2022-03-01,2273.258
2022-04-01,2264.773
2022-05-01,1843.152
2022-06-01,1552.63
2022-07-01,1352.071
2022-08-01,1261.916
2022-09-01,1162.668
2022-10-01,1110.859
2022-11-01,1198.532
2022-12-01,1247.366
2023-01-01,1254.381
2023-02-01,1233.062
2023-03-01,1214.49
2023-04-01,1204.372
2023-05-01,1166.501
2023-06-01,1061.061
,
,
,
,
,
,
